,n_cells
HSD17B13,87561
PA2G4,2826641
COX7B2,11178
ELOVL6,669557
KRT83,274
PFKFB3,4788868
TMC7,80400
ARL6IP1,2894948
SERPINB9,3741142
SMAGP,304185
CDH2,24757
EMB,6142421
DLGAP1,527982
STAT2,6123914
NUDCD2,494744
IRF2BP1,177570
HSPA4,2982992
FOXA3,3807
GARIN3,1055
SLC26A5,140092
COMMD5,691569
SGCD,876303
GTSF1,70931
DPY19L2P2,191355
ZNF16,546851
ARMC10,1270183
RNF34,3197989
ACYP2,5294205
TRABD,1455783
ATF7,4273102
RASA4B,247238
SOCS6,680229
CAVIN4,49698
ZNF296,85935
HOXB9,5151
TTLL6,11341
POLH,1493136
SYT9,25417
KCNS3,46441
KIF5B,5171961
GPR37,740
AKAP13,9793379
CDCA4,379605
SDR16C5,2774
DYDC1,3475
OR10A2,525
CHCHD7,1014033
HTRA3,4446
FOXN2,5066158
LMOD2,1565
BFSP2,56537
FSHR,14226
CELP,262
USP32,5214026
CEL,35354
PPM1D,2435256
GPR27,13041
ENSG00000170846,495500
PSG6,435
KBTBD2,3026300
RIOX2,1205650
TRIAP1,199500
LILRP2,8876
LSM3,796396
KIAA0232,4040948
MTSS1,2923250
TMEM43,1719346
RNF139,1018298
RPS9,3025808
PLA2G1B,1154
CYTL1,7872
TSEN34,288605
TRH,1032
GSTA4,27383
MSANTD4,1301410
NDUFA3,718588
OSCAR,712034
PAQR8,710001
NUDT6,143159
TPT1-AS1,3819430
TANC2,4048832
OR7G2,410
PKHD1,49002
OR1M1,735
NCBP2L,1805
DNAJC24,1833115
MBD3L1,23019
ZNF160,2848029
ZNF415,114289
CAVIN3,29572
CEACAM3,160333
DCDC1,163712
HAS2,3342
PDGFD,851675
PLAC1,37672
DDI1,460
LINC00208,428
S1PR1,2194742
HS6ST2,39721
PYGO1,5168
LRRC8E,4242
PKIA,1490220
XKR6,5663019
TSNARE1,1710719
FPR2,390539
FPR1,815753
FEZ2,2963807
SOX7,29647
C8orf74,1987
C11orf24,331839
FAM86JP,28617
ALK,128843
KYAT1,817542
MTM1,3850213
SIGLEC17P,3545
TRMT61B,938275
INSR,763279
MFN1,2945440
GIMAP8,4010353
HSFX1,803
NRTN,24248
KCNMB3,385974
FUT3,2621
KCNG3,18578
ATP6V0E2,553009
PRKCE,6854812
OR2K2,1042
JAGN1,334661
RLN3,4232
TADA3,1029789
SOCS5,2249177
C1GALT1C1,625595
BBLN,352334
MORN4,71637
ZNF672,750522
ZNF692,502492
NAIF1,212853
RBKS,502221
OR2M4,4196
GRIK1,259934
MUC7,5729
OPRPN,403
SMR3B,4512
TMEM126A,517942
TMEM126B,1083671
TRIM8,922612
NETO2,847486
CSN3,317
CLDN20,45924
CDC42BPG,79786
SCAND1,303041
JUNB,1832961
FAM241B,34213
TMEM37,16212
UGT2B7,6463
LRG1,28778
SHCBP1,92870
SOSTDC1,5170
NPTX1,8300
FAM98B,1290395
ZNF439,1125456
ZNF440,980536
GAA,1224803
CANT1,1233011
KCNK3,4118
ZDHHC16,719934
CHST11,8951163
EXOSC1,1443064
PGAM1,634379
CHD7,4058987
ESCO2,103840
KRT19,442
KRT15,544
LURAP1,28855
CLCN5,1659042
TPPP,31454
KCND3,14363
APLN,617
KRT9,285
PDE7B,1565717
MRPL36,222049
ZNF581,2099233
NAT1,291278
KRT20,644
GLOD5,25021
KSR2,72675
ZNF524,198408
MCC,650598
KRT27,673
ZBTB26,732716
DSEL,36716
POLR1C,1394099
ASXL1,4502434
OR1L6,1686
DLK2,19520
ZNF562,1647932
ZNF318,1467060
ZNF561,1028282
WIPF2,3650067
HOPX,203017
SSX6P,775
NLRP5,18542
LRRC8C,7116490
SPACA5,775
RSL1D1,2976266
LRRC8D,4864053
MROH2B,4073
OR1L8,17226
PPID,1447406
OR1N2,6230
COL24A1,161924
ETFDH,980675
RXFP1,258057
LPAR3,173146
PTGER4,2170866
TBCA,4613240
NEUROD2,976
MAP6,16288
OTP,463
ECEL1,484
BCL2L1,2705362
FGA,217
OR2AT4,2464
FGB,1757
PLRG1,1271546
RAB4B-EGLN2,65211
ZNF584,288040
DSCAM,56472
DNAI2,100129
NMUR1,61227
CLSTN1,3909849
CXXC5,815254
ZNF274,2087441
PIK3CD,7394930
PTCRA,23353
SLC25A33,1012512
ENC1,278429
SPSB1,1243713
P2RY6,1953141
BPTF,8039598
S100Z,321012
ZIK1,188988
GPR82,124782
NMRAL2P,240456
GPR34,107448
PLEKHG5,100892
ATF7IP,7481209
LKAAEAR1,763
RGS19,985364
TCEA2,239231
ANO5,519859
HDAC3,1488196
SPATA46,331
GPHN,4272395
VAT1L,26564
TMEM51,2052300
CAMTA1,4536103
LGALS4,94948
LRRC34,132704
PAH,7001
SPATA5L1,802948
GATM,121477
SYCE1,31140
NXNL1,3111
RASGRP4,366317
NHLH1,24197
SLFNL1,47666
BCL2,6385723
RHNO1,310351
CTPS1,1005974
UTF1,1734
KNDC1,32415
WDR87,3802
METTL18,227380
CFAP46,8993
COL8A2,118581
PWWP2B,306941
PCDHB1,2010
ZNF540,718832
ANGPTL7,9127
FBXL14,1075812
EXOSC10,2104664
ZNF570,518253
NINJ2,701034
MLLT3,6977603
FAM90A1,10747
RRM2,36069
TRAPPC12,4461263
IFNB1,4683
RPS21,2635144
C3AR1,1157953
MRM3,279485
PTEN,6165629
RPS7,1179606
PRND,581
RNASEH1,1181145
PRNP,1213534
KLF17,1310
ADRA1D,5093
FRMD5,128822
AQP4,1039
MIR31HG,576317
CYP4F11,3476
TLN2,365935
LGALS9C,21176
TVP23B,1166119
FBXW10,11354
OR10H3,527
ZNF217,3956094
SRGAP2C,3121629
OR52A5,714
SCG2,2511
ATPAF2,1024548
CYP4F22,45806
FOXB1,9771
PPIH,1093041
DRC3,35976
ZNF57,167305
SHLD1,2937580
C11orf40,1775
JMJD1C,8950124
LDHAL6B,4231
SYNPO,185346
OR52P2P,1046
ZNF556,16427
MAL,1720531
ZNF554,338796
RAB33B,897831
THOP1,421839
ANKRD20A4P,60967
GAP43,11690
EPHX4,31904
LAMB2,51192
USP19,881991
QARS1,960322
ORMDL3,1092590
SERF1A,15740
KLF11,545037
LRRC15,986
SMN1,166175
EIF2AK3,2826308
MOB3A,3015535
KRCC1,3350757
NME6,980906
CYCS,1097534
CD8B,840193
SLFN12,1198179
CALB2,6247
SLC9C1,102078
OR1A1,1356
FRMD3,2356911
SNTB1,5365878
MTBP,955239
TEFM,1070234
MRPL13,1142415
MALT1,4937743
PRL,3469
ISG20,5092333
HMGN1P35,787
MBOAT1,2240490
GPR22,10227
CXCR6,159204
CEBPB,1109695
AZU1,19702
TPSAB1,2575
PAIP1,1864730
CLEC7A,2338759
C5orf34,336815
C1QTNF4,10458
SERHL,34871
NEGR1,426095
ZNF131,5083700
MACROD2,726672
DPAGT1,370829
BSG,1376642
HINFP,847339
CERS6,6178307
SPTLC3,143748
GOLGA2P3Y,816
COPRS,139786
TP53RK,403121
B3GALT1,77770
OR5A1,1011
CLEC12A,1471459
OR5A2,363
BPGM,1033082
POP7,102905
ALG14,730356
SUCLG2,7234002
STARD5,264519
CSDC2,7113
RCAN2,182187
IL16,3020397
ABCG4,918
GNB2,1871553
CFAP53,94386
OR5B12,3609
OR5B2,4842
MCRIP2,205051
PDZD3,8217
C2CD2L,766189
OR9I1,296
ARNT2,665684
GNG12,19866
PRSS27,20548
MYOZ2,10192
SYNPO2,933981
DNAJB7,9553
CLP1,336876
EFCAB3,47347
TTC36,75869
RSPH9,64427
COPS9,393702
GTPBP2,2168618
FGGY,2459176
OR9G4,253
IL17D,10323
PRSS30P,3450
FUT9,12794
TCEAL1,133140
ZNF24,3086808
MANEA,1004934
RAB40A,42578
AGXT,218
OR8J1,3080
AFF1,8594925
ACOT12,27782
FIBP,345252
CARNS1,67460
OR10H5,3288
BANP,3526403
PPP1CA,1528772
HCFC1,2535196
FAM170B,629
CTSW,549103
NIPAL4,13980
MUCL1,15845
SNTG2,403887
FNDC9,11186
PDE3A,151492
RASGRP1,5569323
KLHL6,3744864
CHCHD1,401547
MRPL52,776823
SMPDL3A,180207
RND1,24044
RAD9A,1711516
EFEMP2,67715
OR10AD1,855
AGAP5,476757
WASHC2C,2433038
TMEM134,592019
ZMAT3,1584472
ZFAND4,1819953
THEMIS,5236031
ZNF738,660124
MS4A10,600
SLFN11,2362083
GARIN2,43036
CCL19,82308
CORO1B,1719845
FUT10,809048
LRRC20,138047
MUS81,800366
PURG,5210
TMEM217,138280
OR4D9,2190
RPL12P13,735
ZNF596,423817
COL6A5,12624
CFL1,4132325
TMCC1,5204848
NAA16,3076510
OR5B3,592
EFCAB12,65615
PSME3IP1,3055005
RAB43,2564688
FADS6,2572
ZNG1A,1141410
HOXC5,486
RAB37,434431
DCP2,4072881
ZBTB8OSP2,758
SNX32,279403
RPL38,3142151
CYP7B1,143862
OVOL1,473
RARG,544661
CES4A,274210
CES3,4888
SSH3,277465
CES2,1079814
PDP2,409660
SP3,6257746
KRT2,3032
DMXL1,5437378
METAP1D,662287
ZNF621,1256797
EGFL7,9639
NADSYN1,2342412
DHCR7,140261
ACTE1P,5810
LVRN,12287
COX6B1P3,1048
NBEA,2134535
RNASEH2C,780310
MYEOV,8911
ANKRD13D,2216791
MRGPRF,676
MYD88,2226117
OXSR1,3912108
SLC22A13,61140
PHF8,2921756
LCLAT1,2987021
ADH6,3865
MIR4435-2HG,1107692
XKR3,18808
UNC93B3,23613
VDAC2P5,9981
KAT5,1022850
SH3RF3,1852934
GXYLT2,46568
HPSE2,79316
DCAKD,1640237
ARPP21,13981
TADA2B,906474
CCDC96,19771
GRK2,3005122
RELA,1668536
EVC2,276650
ZNF680,1574404
HECTD4,4870075
FAM222B,3742920
BNC2,411449
DELEC1,386293
RXFP4,2052
HPSE,807194
COQ2,835757
CCDC63,17742
HSPA6,124345
TRMT112,926750
LRRN3,996410
KDM2A,7943659
ACSM6,14342
ADCK5,226818
MRPL57,516651
NOC3L,1498214
ESRRA,1082444
RHOD,13270
ADAMTS20,14472
COMMD1,4053701
RAPH1,1176535
MTX1,112077
ADCY5,12132
PARP14,8936110
CYSLTR1,1777415
PARP15,3675821
CKS1B,140410
ABCD2,1794653
AHSA2P,2252351
ABLIM3,85241
MAB21L3,16227
TUBB8B,9546
MFSD4B,3027568
VANGL1,245185
GLRX,2192857
IQCB1,3721994
SYT12,16732
GOLGB1,5397690
LIPM,14035
GPR151,789
DMRT2,745
ZNF483,588624
PLAC8L1,153745
SLC2A14,42366
GPR137,561910
SNCG,620
MMRN2,84481
MZT2A,900377
TNKS,6063593
ZNF449,559081
ZBTB21,999118
PPP1R3B,554593
OR10K1,1380
FAM86B3P,57443
STOX2,55901
MAP3K11,1816588
TRIB1,712130
KCNK7,35877
SFT2D3,202318
ENSG00000173366,195670
C1QB,304262
C1QA,258561
NDNF,3840
IQCF1,2260
OLR1,727199
GLIPR1L1,21599
DAG1,1284175
INSM1,10956
DAB1,1810421
ARV1,700230
NAA20,1413224
IHO1,26887
SAA1,5680
MICOS10,1008599
EHBP1L1,3862615
THAP2,491666
TMEM196,2023
RNF26,161616
PPP1R14B,142245
RNASE11,4671
ZNRD2,266725
AGR3,2516
SMARCC1,6283436
ZNF417,1045357
PTPRM,2068067
FKBP2,817083
VEGFB,634615
PEAK1,4201532
TNFRSF10D,1149979
MST1,24691
TNFRSF10C,47031
GMPPB,500515
MOB1B,3144132
ZNF622,928970
CSPG4,4093
SNX33,165181
FAM166C,560
NABP1,4900935
ADGRF3,266857
NLRP13,5494
CHD2,9032279
XCR1,754211
CCDC106,45173
CCR9,43988
CEP83,1831600
SULT1B1,873150
NUDT4,1291872
PC,325437
UGT2A1,5502
SCAI,2411948
GPRC6A,1695
NMNAT1,912406
LRFN4,49463
TRAPPC3L,12751
APOBEC4,2193
SLC19A1,477046
HSPB7,328
RCE1,238173
UQCRH,1232992
TAS1R1,7427
EIF1AX,1509033
SPDYE2B,8176
BCLAF3,2398586
PSMD1,3686380
ADGRG2,65976
SPATA3,11714
MUC13,11161
SUSD5,11807
HEG1,2884237
WFIKKN2,447
C11orf80,1483322
TOMM20,2183437
FAUP4,1153
C1orf100,34924
AGFG1,4707458
STAT5B,6038104
CD7,614042
TOPAZ1,13690
CNP,1791174
JUP,899161
HAP1,4719
TDRD12,103433
CCDC13-AS1,2146
EIF1,4821962
ENDOV,375848
RNF213,10742324
TIGD3,6496
KCNH6,6124
MARCHF10,34657
PLK3,831301
NET1,347521
DPY19L1,1441346
ENSG00000173867,458648
PHOSPHO1,16402
ZNF791,1878943
PHC3,7419602
GPR160,717735
CBX2,10132
SPTBN2,52604
GOLIM4,1298296
KRT28,204
RBM4B,630472
ATP5MK,1069877
HOXB2,153890
C1QTNF1,46742
MARCHF3,2685475
SWSAP1,127034
SLCO4C1,353492
RBM4,3601820
PIFO,4468
XXYLT1,1454175
UBXN2A,2334488
RAX2,762
LRRC63,366009
TCAP,38182
CCS,649658
NRROS,452629
CEP19,177985
KLHL15,751079
FBXO45,553994
CBY2,2375
TENT5D,12209
GNG5,1382751
FAM3C2P,19299
SLC25A30,1107941
C9orf131,10111
CD34,32291
CTSF,140818
MSRB3,88456
LEMD3,3983631
C16orf91,96802
TLR10,341306
TLR1,2282532
TLR6,727966
FAM174A,657188
RGMB,338613
FAM53A,259863
NWD2,14060
CYB561D1,765412
GSTA3,696
ZDHHC24,1020999
ENSG00000174171,261046
TRMT10C,687140
SELP,188972
CTU2,144196
MGA,5188863
KICS2,586476
ARL13A,17324
SNX31,22489
PIGG,2340995
PRPF8,4520961
ADCY6,17794
REP15,7092
PITPNA,3217179
DDX23,2220037
ZNF80,48683
ZNHIT2,41227
ZBTB4,2364881
TNK1,54032
ZHX3,1191109
PHLDA3,14442
DIRC1,2795
SLC16A11,14935
SLC16A13,193095
GLIS1,35434
CHRNA9,7645
PODN,16215
STAG3L3,49506
SLC6A19,329
SNHG11,83718
KCNJ5-AS1,34937
EXO1,48395
RALGAPA1,5466616
PMS2P6,8334
CRMA,917
LIG4,855593
MIR1-1HG,499
TRHR,3844
GTF2IRD2B,1566394
ABRA,5635
ATP2A2,3875854
ZWILCH,612763
RPL4,4421929
SNAPC5,822597
STARD6,19084
GOLGA6L2,1080
VWC2L,33631
C12orf76,894548
ZCCHC12,445
CNTNAP2,387728
GALNTL6,115213
LINGO2,757353
BBS1,704934
DENND4A,6797236
IGDCC3,6748
GCSAM,471541
ANKRD36C,3403516
SLC26A9,21568
MFSD4A,136446
PELI3,106582
MYO1H,69970
TMEM81,38108
MRPL11,264326
KLK15,2449
IL20RB,735722
GOLT1A,13454
AKIRIN1,2104416
MSL2,4810669
ZNF497,82432
TRAM1L1,1535
CMKLR1,2710318
ANGEL2,2774970
UGT8,343660
KY,9972
IQCK,257589
SLCO2A1,14357
ZNF266,2015412
OR7D4,766
SLC29A2,264018
BRSK2,23581
GRIK1-AS1,18094
B4GAT1,33129
TMEM167A,2438843
LEP,4855
SH3PXD2B,485434
PPIAP72,80633
RESF1,8775857
LARP7,3060156
FGFBP3,148453
NR1D2,2733169
PABPC5,320
BRMS1,618596
RPL15,4297707
FAM241A,2291794
HRAS,175016
WDR49,121871
SRP72,3037548
PCP2,25179
RIN1,95319
ODAPH,12979
THAP6,1525914
CEP135,2992852
FZD4,5465
CD248,28463
BTC,4308
PDZK1,63129
ADGRE1,538761
DENND6A,3835874
PDE12,1153023
GLMN,2359829
DNAH12,194376
YIF1A,247995
CNIH2,30456
AMY1B,339
NLRP6,107490
NDUFA11,710752
RSRC1,6004659
CATSPERD,33335
SLC66A1L,6466
RAB1B,1502886
METTL15P1,23394
PTDSS2,581368
MICOS13,336562
C3orf33,283429
VN2R1P,2186
SEZ6L2,21210
ASPHD1,140581
KCTD13,2127244
P2RY14,995357
AMZ1,298021
GPR171,1408281
GPR149,6387
CD164L2,519
FUT1,7241
DHX36,4858142
ZIC4,583
PAIP1P2,22761
FBXW8,2290083
CA5A,16664
ZG16,378
KLC2,342417
SLC22A1,298575
TEX36,24419
CTBP2,2877446
CHST2,374094
ZDHHC14,2661383
ATR,5576420
SNHG29,1479778
UBE2C,6596
DSG4,1492
GK5,1402461
VCPIP1,3954070
DES,656
PDIK1L,860042
SPSB4,12365
RAG2,1945
TRAF6,1656905
ZNF654,4296990
TVP23C,3178278
MRPS22,820709
PACS1,8751693
WFDC5,252
MARCKSL1,580335
SH3BP5L,634615
TMEM51-AS1,137701
YPEL2,2637904
CADM2,260532
ABO,172077
PSMD2,1875655
FAM182B,81804
PPM1E,83738
FAM131A,225658
CSRP2,39491
INHBC,7288
PARL,2573336
DDIT3,767026
PCCA,3791903
HIGD2B,4576
DCTN2,1781479
NPPA,21027
ZNF408,139723
CTDSP2,3000561
CKAP5,2813559
ARHGAP1,1786592
MED16,864699
ATG13,2530912
GAL3ST3,221
C1orf127,16051
CHST1,2132
GOLGA8A,1154588
VWA3A,81579
TP53I11,426305
CENPS,115428
DOLK,93750
PHYHD1,53643
CATSPER1,40756
ANKRD30BP1,1345
CCNE2,62056
PHYKPL,5067703
ANKS4B,5677
CST6,5192
GRAMD2A,12730
NF1P5,528
ZNF519,855393
LSM1,638190
PROP1,1527
ISX,479
BANF1,490223
APOF,922
CHRNA7,37966
TMEM9B,1143714
NRIP3,300987
PTPN2,5373320
SCUBE2,182283
EIF1AD,644690
SMAD2,6203781
EIF3F,1797375
ZNF25,1150257
ARL10,686284
CLTB,726076
PCSK1,6980
LPL,50957
RFESD,193411
CCDC14,2237219
TBC1D10C,1059122
SART1,2376061
PPP2R2D,3686248
MCTP1,2974549
POLD4,798689
LRRC25,706946
DPP10,181454
CLCF1,280392
ACRP1,610
TSGA10IP,16083
GPR152,362
UBQLNL,50032
UBQLN3,9928
PNLIP,36720
LIPT2,41699
KCNE3,565735
CABP4,77963
ALG10B,321034
DRAP1,2173230
LONRF3,912708
UCP3,172070
UCP2,2624057
C11orf68,187841
PAAF1,1219051
MRPL48,1322117
RAB6A,4594530
P2RY2,104510
FOSL1,103838
ERCC4,1016434
SUGCT,717758
CCDC85B,344873
ENSG00000175604,5909
TMEM70,637581
ERCC6L2-AS1,1971851
RPS6KB2,541960
RMI2,915004
TOM1L2,3297456
TEX26,2092
GOLGA8DP,482
ZNF77,268339
GPR156,43069
CCDC197,1231
MTLN,144926
KDF1,34605
B3GNTL1,1268796
MLXIP,3476604
LINC02873,2158
RWDD4P2,4222
NR2F1,421
LINC02915,961
EIF3KP1,1698
AURKAIP1,411521
TTLL11,1266009
EIF4E1B,818
TOMM5,656749
LINC01106,822
ZBTB44-DT,387384
LINC02694,716784
SLC35E3,1629311
PRIMA1,3399
ZNF169,1968877
RUVBL1,1098885
SFN,4573
MSRA,2985684
CBLL2,691
CCDC168,43774
CTDNEP1,833596
ETV4,28851
FAM172BP,18493
SWI5,511576
GAPT,583391
BAIAP2,315256
CALCB,848580
CREG2,4389
TMEM270,703
RPL7AP66,2560
ZDHHC21,2382376
TSPEAR,22542
PLEKHF2,2300288
A2M,540399
ARL4D,18609
DOK7,13789
LRRN1,105613
UBE2O,2294529
ORAI3,404592
KLHL38,448
LINC02880,5102
UNC119B,343077
DENND2C,106111
PLEKHD1,49304
ASCL3,5631
TUBB6,941784
LYSMD3,2031614
AMIGO3,4802
B3GALT6,247007
ZNF613,474268
C11orf16,5775
TMPRSS7,5689
NUPR1,206797
JAKMIP2,2405143
RPL23P2,10026
MBLAC2,533782
TPRN,365742
KCNE5,25840
ZNF683,171013
SLC35A4,680727
CRYBG2,126521
IP6K1,3474910
SSNA1,466500
CSTF3,3995413
YES1,1356234
CHMP6,750401
AQP7P4,230
DLEU1,2828946
UFSP1,10791
MC5R,230
TMEM39A,1726960
TCP11L1,2230342
GPX2,27884
CCDC57,2159996
HSF5,533690
SPHK1,347603
BNIP3,552042
ENTHD1,153109
MYPOP,680155
ENSG00000176183,3082
CIDEA,2035
OR11H4,636
LRRTM4,57560
ATAD5,791249
SMIM19,731008
ZNF404,227226
RTTN,2624453
OR4K17,363
RPP38-DT,8842
CDV3P1,601
ACBD7,8212
ANAPC2,570547
ZBTB8OS,2843058
CYCSP34,24601
OR4F21,304
SLC35G1,562536
IDSP1,1982
ZNF135,212642
OR4N2,5472
FOXR1,2071
FOXN3P1,975
ENSG00000176320,18554
COX8A,874968
ENSG00000176349,10207
TAC4,56315
ZSCAN2,377759
PRR18,332
B3GNT4,10810
CDC26,375708
HSD11B2,11701
CRLF3,5381048
RNPEP,1301923
EID2,400637
DMRTA1,1050
EID2B,159265
GJC3,2682
RIMS2,135492
KCMF1,5352509
DNAJC30,249603
SPRYD4,397216
VPS37D,2572
SYNE3,3736525
CLK2,1669650
LPCAT4,635412
SLCO3A1,5607351
ZNF575,74200
WDR25,1553965
SGF29,1555532
PLAAT3,375212
DIRAS1,20005
OR5AN1,11680
OR10AC1,3967
ENSG00000176515,1578
PHLDB3,771088
PRR15,1068
GNG7,1705878
USF3,2679397
CNTD1,79383
CNBD1,102711
DMBT1L1,6462
ENSG00000176593,952718
KBTBD11,385269
B3GNT5,1134886
MAP3K19,23283
LINC02914,1024
LMNB2,626552
RMDN1,2518752
MEX3C,1307163
HORMAD2,13179
RNF152,101469
NANOGP1,2871
MYO1D,2555578
LINC02910,47313
LRRC37A,175184
BDNF,18241
SCAND2P,642093
CCDC121,25407
ACSF3,2800706
BOK,13629
ZNF843,21477
TTTY14,873579
RBIS,1206243
PFN4,23369
CDK5R1,165864
PAK6-AS1,414
LINC00303,1503
ZNF285BP,627
TCERG1L,50846
NCKAP5,107196
RUFY1,3441174
BASP1,2072817
OR51L1,375
LRRC37A3,557678
METTL1P1,2212
FKBP9P1,5129
VSIG10,271336
MIR7-3HG,4249
IRX5,584
METRNL,764645
FAM91A1,3353919
GJA1P1,1077
ENSG00000176868,66293
WSB2,1464841
GRIN1,6292
SOX11,729
TYMS,48929
PXMP2,120091
TCEANC,601045
PNMA1,302493
MAMSTR,18769
TYMSOS,5882
ANKLE2,3139600
C8G,5502
FUT2,17326
EFCAB5,429226
GCNT4,1481285
TOB2P1,1208
MUC20,438927
THAP4,840668
NFATC2IP,3334658
RPL7L1P11,1515
FAM89B,215523
SHMT1,437527
DPP7,637605
TRIM60,6081
SEC24C,2629809
FMR1NB,17771
SMCR8,2136696
HCG4,4802
MTHFR,1779760
C19orf18,133025
DEAF1,1442897
MTX3,1181521
TMEM80,607746
SIX5,12059
IFNW1,1232
FBXO46,1291535
ZDHHC13,2066422
SLC38A9,3118202
ACER2,477258
WDR73,1255993
POLE,1227804
PHETA2,64335
SCN4B,5520
DSCAML1,452750
RHOG,2049728
EPS8L2,62971
ZDHHC22,456
IRAG1-AS1,78226
ANO6,4461417
ZBTB34,962915
PRDM16-DT,1006
FAM9B,155082
NUDT4B,20880
FAM210A,1265679
OR2T35,1442
TALDO1,1859082
ULK1,787076
RIMKLA,22837
CLVS1,220284
RPS6KA3,6938729
B3GNT8,35681
PUS1,858084
PCNPP5,6353
CHD9,5537495
OR2T12,4725
OR2T33,265
GATD1,624330
OR2M1P,261
TRIM72,7594
MAN1B1,922176
KCNA3,3805776
OR2AJ1,2344
FZD8,8734
GJD4,1627
FBXO39,281841
CLDN22,784
KCNA2,174478
TOP3A,1778707
CASKIN2,13867
ZBTB38,3942749
BEND2,12632
LINC02904,248812
DLGAP1-AS1,786275
LINC00469,58371
FLJ13224,2466
RPL13AP3,31678
CCDC71,237416
C10orf71,1023
ENSG00000177359,19919
LRRN4CL,1784
FLJ40194,408129
TIMM22,382396
HIC1,83518
PPFIA3,92514
MAGEF1,162944
UMODL1,75686
NINJ2-AS1,366586
SAMD9L,8355283
ZFAS1,2476021
UBE2U,24412
ENSG00000177418,2189
PAWR,828385
TGIF1,1060482
MIEF2,102091
NAP1L5,49346
CBX3P1,1343
ENSG00000177452,389
NIM1K,149715
CD19,275049
ERICH5,4854
OR2T8,1150
NR2C2,4845083
ACOT4,17578
CAVIN1,23641
ARIH2,3600305
RBM44,212084
ZBTB33,1198993
ZBED2,16451
IRX3,361
ST8SIA3,668
RPRM,927
OR2B11,2852
SLC25A22,190830
RABEP2,1542405
NHLH2,300
C1orf167-AS1,301
ATOX1,1869880
FAM187B,1515
TBL1XR1,7003559
SAMD12,3151391
CD163,2262861
C18orf32,1101234
GIMAP3P,20363
PIDD1,269492
ENSG00000177596,2251
ZNF491,110593
RPLP2,6078190
HASPIN,17191
JUN,791756
CSTF2T,984954
PGBD5,29557
C12orf54,4423
GBA1,837658
CASC2,59409
ACAD9,2350918
IL17RA,3998919
PNPLA2,656735
MBOAT4,59581
AGTRAP,731164
CD163L1,1107016
SRRM3,27953
THAP5,815719
CRACR2B,15952
SUMO4,566489
MAGEB10,329
DNAJC28,66524
NAALADL2,914083
CD151,389507
ENSG00000177699,65017
POLR2L,592392
FAM20C,1034084
NECTIN3,792415
SLC35G5,25203
ANXA2R,430914
TMEM94,1123856
FLII,2126230
SOX12,189676
HNRNPA0,1477397
ANXA2R-OT1,1569579
YIPF7,57716
FAM87B,3341
RAB4A-AS1,41954
MYOZ1,5413
TMEM78,280
YWHAQP4,319
KCNJ10,221509
TENM3-AS1,36788
CHID1,757243
PCDHB9,1054
ZNF620,813539
ZNF518A,3576672
TMEM187,251307
CACYBPP2,35520
SVBP,397714
ZNF619,286770
CCDC184,3492
AP3S1,2008436
GRB2,6916234
ZBTB41,1448876
UBE2N,3089510
SPATA31C2,342
ARL6IP6,2524932
ZNF354C,738609
MAMDC4,129724
CENPBD1P,210715
ODF3,1497
BET1L,890686
RPS27,6258146
RIC8A,919426
IMP3,643634
ASB8,1324848
LCN15,1080
ODF3B,1652249
DPY19L2,193047
ZNRF3-AS1,2628
C2orf73,3750
GPR150,5039
TSPYL6,1725
LRRC75B,10347
DMAP1,899608
ADAMTSL1,72394
CALHM5,5656
IMPDH2,654982
ALS2CL,124241
MLF1,42694
PRSS42P,4020
NDUFAF3,487363
C2orf69,838508
GRAMD1C,814579
STAP2,85299
ULK4P3,5515
TWF1P1,11168
HTR3C,4092
TSSK6,48468
BOLA1,207741
PDE4DIP,2310693
DDX10,4146484
ENSG00000178107,877
GOLGA8Q,5746
PPP1R42,160381
NDUFV2,4263644
GK4P,50804
DALRD3,293519
ZNF114,10548
FAR2P2,9441
ZNF518B,1153312
AMER3,972
SPINK6,748
ZNF366,407521
LCORL,5307762
PARD6G,33992
ZNF454,23240
SH2B1,1562946
ZC3H12D,3612376
VN1R1,15917
POGLUT3,654283
PLEC,3782569
SH2D4B,105105
RNF212,218137
PRSS36,39621
ZNF543,251950
TMEM151B,19517
GALNT11,3369828
FAM230I,1191
WDR6,1303449
TNP2,247
GEN1,1482198
TMPRSS9,61766
AQP11,163855
TMEM11,545255
ZNF354B,1138940
KCNG2,32241
SHISA3,1292
ZFAND2A,346742
PLEKHM3,2983419
ZNF223,347474
FAM220A,331000
DNAJC22,3676
CEP295NL,136114
BEND3,178304
CTDP1-DT,129754
NT5DC1,3634138
RPS3AP5,23171
TIMM23B-AGAP6,532352
GLDC,72338
COX14,603132
LINC00314,384
H3P16,4335
MCMDC2,61110
TUBAL3,5070
RPL10P16,11737
P4HTM,734400
UCN3,504
DTX3,153186
KLHL11,693343
NECAP1P1,388
AMBN,1920
CTXN1,517
SLC25A20,505815
CA8,37155
CD28,3567833
EPM2AIP1,1748807
ERBB4,96528
MAF,2063171
CTNNBIP1,1092497
OR6B3,1065
GTPBP6,1125379
ERN1,3795698
GPR35,214922
ACTG1P1,5243
MRPL42P1,168526
C10orf53,1632
PPIAP33,1031
ARMC10P1,1582
CSRNP3,18194
ZNF713,432359
PARP10,2019507
DYNAP,316
SUZ12,3302513
NSUN3,3339278
KCTD12,2065107
DHFR2,511257
ENSG00000178715,2531
RPP25,47456
